D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;10.58;;7.0;54.5;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;;;22.0;43.625;3.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;;;8.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;11.808;;9.0;41.875;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;;3.173;2.0;54.25;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;18.018;;28.0;32.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;;;10.0;44.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;14.988;;26.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;;11.359;19.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;;;;38.625;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;21.883;8.239;14.0;47.875;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;18:00                                                                                                                                                                                                                                                     ;17.432;10.335;44.0;33.125;5.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;10.81;;37.0;51.125;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;;;53.0;45.232;3.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;;;13.0;37.0;7.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;11.854;;13.0;46.125;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;;3.269;3.0;55.0;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;18.291;;54.0;30.75;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;;;34.0;43.875;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;15.124;;51.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;;11.212;47.0;;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;;;;37.625;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;21.719;8.288;44.0;45.5;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;19:00                                                                                                                                                                                                                                                     ;17.908;10.53;65.0;31.875;6.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;11.385;;58.0;45.625;3.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;;;69.0;41.386;4.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;;;16.0;34.143;7.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;11.945;;58.0;43.75;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;;3.269;4.0;50.375;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;18.608;;72.0;28.125;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;;;50.0;40.25;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;15.26;;63.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;;11.408;71.0;;10.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;;;;35.125;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;21.773;8.288;44.0;41.375;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;20:00                                                                                                                                                                                                                                                     ;18.62;10.871;64.0;29.25;7.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;12.19;;55.0;39.875;3.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;;;64.0;36.491;4.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;;;6.0;32.5;7.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;12.217;;61.0;39.5;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;;3.173;8.0;44.625;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;19.017;;76.0;24.625;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;21:00                                                                                                                                                                                                                                                     ;;;47.0;35.5;5.0
