SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
2;1.6;29.2;0.2;47;22.5;31.2
1.6;3.8;34.4;0.2;40.5;23;40.2
2.6;4.2;26.3;0.2;47.2;20.5;32.5
3.4;10.7;23.2;0.3;52;23;39.8
2.3;4;19.4;0.2;66.5;;25.5
1.4;2.4;13.8;0.2;86.2;28;17.8
1.3;2.8;13.4;0.2;103;29.5;17.8
2;3;14.4;0.2;110.5;32.5;19.2
1.9;3.3;15.4;0.2;120.2;23.5;20.5
1.6;3.9;14.6;0.2;117.5;23.8;20.5
1.2;3.8;9.1;0.2;119.8;24;14.8
1.3;3.8;10.3;0.2;127.2;18;16.2
1.4;3.2;6.8;0.2;111.2;28.2;11.5
1.8;2.8;9.8;0.2;101.5;26.5;14.2
1.2;1.9;26.9;0.2;83;26;29.8
1.1;0.9;10.5;0.1;102.2;26.8;12
0.8;0.9;7.5;0.1;109.8;22;9
0.9;0.8;7.8;0.1;108.8;18.5;9.2
1.4;0.5;10;0.1;98.8;16;11
2;0.6;9.9;0.1;92.8;20.2;10.5
1.9;0.5;14;0.2;84;21;14.8
1;0.6;12.4;0.2;84.5;22.8;13.2
1.2;0.5;11.6;0.2;88.2;20.2;12.5
1;0.3;12.8;0.1;83.2;20.8;13.2
0.9;0.4;20.3;0.2;71.8;22.8;21
1;0.4;25.1;0.2;65;26.5;25.8
1.1;1.5;22.1;0.2;74.2;24.8;24.5
1.2;3.4;27.8;0.2;73.5;24.8;33
1.1;2.5;19.2;0.2;97.5;31.8;23
1.4;1.5;10.8;0.2;127;38.2;13.2
2.2;2.1;13;0.2;128.5;29;16.2
1.5;2.2;10.3;0.3;141.2;34;13.8
1.4;2.6;8.3;0.2;141.5;34.2;12
1.2;2.9;8.1;0.2;140.8;21.2;12.8
1;3.5;7.3;0.2;138;21;12.8
1.2;3.9;9.6;0.2;129.5;25.5;15.5
0.8;2.8;8.7;0.2;117.8;16.5;13.2
0.7;2.4;18;0.2;104.8;30.5;22
1;1.9;18.6;0.2;105.2;37.2;21.8
1.5;1.2;14.5;0.2;105;33.8;16.5
1.2;1;16.8;0.2;97.8;27;18.2
1;0.8;14.8;0.2;96.5;16.5;16
1;0.7;14.6;0.2;93.8;16.8;16
1.2;0.6;14.5;0.2;94.5;18.5;15.5
1.2;0.6;16.2;0.2;86.2;25;17
1.2;0.4;14.7;0.2;85;27.8;15.2
1;0.4;15.6;0.2;82;22;16.2
0.8;0.4;18.3;0.2;75.8;25.8;19
0.8;0.5;22.9;0.2;65;29.5;23.5
1;0.9;36.8;0.2;49.2;24;38.2
1;3.1;33;0.2;53.2;30.8;37.8
1.2;2.4;23.6;0.2;69;32.8;27.2
1.2;1.7;14.5;0.2;90.2;32;17.2
2.2;2.6;16.8;0.3;92.8;31.2;20.8
1.8;2.2;11.4;0.2;109;34.5;14.8
1.7;2.5;12;0.2;116.5;37.5;15.8
1.9;2.6;12.8;0.2;121.8;32.8;16.5
1.7;2.7;9.8;0.2;120.5;36.2;13.5
0.9;2.9;6.6;0.2;114;24.2;11
0.9;3.7;6.8;0.2;114;26;12.5
0.9;3.6;12;0.2;103.8;23.5;17.5
2.2;3.2;10.4;0.2;79;29;15.2
1.8;2.2;25.8;0.2;56.8;36.8;29.2
1.2;1.2;14.6;0.2;81;38;16.2
1.3;1;11.8;0.2;77;37.8;13.2
1.7;1;12.3;0.2;66.5;31;13.8
1.1;1.2;9;0.2;66.5;23.2;10.8
1.5;0.7;11.2;0.2;65.2;20.8;12.2
2.6;0.8;16.8;0.2;47;18.5;18
1.4;0.4;17.6;0.2;45.8;17.8;18.2
1.5;0.4;16.8;0.2;47.8;21.8;17.5
1.2;0.4;13.9;0.2;58;23.8;14.2
1;0.4;18.4;0.2;50;19.8;19
1.1;0.6;24.6;0.1;43.8;20.8;25.5
1.7;3.4;25.6;0.2;38.2;22.8;30.5
1.7;4.6;24.5;0.2;47.2;20.5;31.8
1.6;3;15.8;0.2;66.5;32.8;20
2;2.4;13.8;0.2;88;32.5;17.5
1.7;2;10.1;0.2;102.2;29.5;13.2
1.8;1.8;8;0.2;111.8;30.8;10.8
1.6;1.8;7.2;0.2;111.5;33.5;10
1.1;2.1;6.1;0.2;99.2;32.2;9.2
0.9;2;6.1;0.2;88.8;33.8;9.2
0.9;1.4;6.7;0.2;82.8;39.2;9
0.8;1.3;6.2;0.2;72.8;33.2;8.2
1;1;13.8;0.2;58.2;29.5;15.5
1.1;0.8;14;0.2;57.2;26.5;15.2
1.8;1.2;17.6;0.2;49.2;10.5;19.5
1.4;0.6;7;0.2;60.5;17.5;8
1;0.9;10.6;0.2;54.2;25.8;11.2
0.9;0.8;6.7;0.2;61.5;17.5;8
0.8;0.5;8.6;0.2;59;14.2;9.5
0.7;0.6;9;0.1;59.2;14;10
0.9;0.6;9.6;0.1;55;9.8;10.8
0.8;0.6;8.4;0.1;54.5;5.5;9.5
0.8;0.6;7.9;0.1;56.8;7.5;8.8
0.6;0.5;10.2;0.1;58.5;7.2;11
0.7;0.4;15.8;0.1;56.8;4.5;16.8
0.6;0.4;11.8;0.1;63.2;8.8;12.2
0.7;0.4;7.2;0.1;69.8;10.8;8
1.3;0.6;9;0.1;81;9.2;9.8
0.7;0.4;5.2;0.1;93.5;18.5;5.8
0.7;0.3;5.6;0.1;94.5;19.2;6
0.7;0.3;5.5;0.1;93.5;19;6
0.6;0.3;6.2;0.1;96.2;20;6.5
0.6;0.3;6.3;0.1;89;23.5;6.8
0.7;0.3;5;0.1;87.2;23.2;5.2
1.1;0.3;7.3;0.1;81;17;7.5
0.6;0.3;8.8;0.1;73.8;31.5;9
0.6;0.4;11.3;0.1;69.8;20.5;12
1.7;0.4;18;0.1;58.5;8.2;18.5
1;0.6;10.6;0.1;65.8;8.8;11.8
1.2;0.6;13.2;0.1;63.8;7.2;14.2
0.6;0.7;8.6;0.1;67.5;7;9.5
0.6;0.7;6.2;0.1;72;7.8;7.2
0.6;0.8;7.7;0.2;67.5;5.5;8.8
0.7;1;9;0.1;65.2;6.8;10.2
0.6;1.1;7.3;0.1;72.5;9.5;9
0.6;1.2;6.2;0.2;73.5;18.5;8.2
0.6;1;7.9;0.1;75;8.2;9.5
0.6;1.4;8.3;0.1;69;8.5;11
0.6;1.4;5.8;0.1;71;10;8
0.6;1.1;9.1;0.1;68;9.2;10.8
0.6;1.4;8.4;0.1;72.2;8.5;10.5
0.7;1.6;8.2;0.1;68;8;10.8
1.1;1.8;9.4;0.1;67;8;12
1;1.2;6.6;0.1;70;24.2;8.2
1;0.6;5.8;0.1;73.5;15;6.5
1.4;0.9;8.2;0.1;76.5;12.8;9.5
1;0.4;5.2;0.1;77.2;17.5;5.8
0.9;0.4;5.6;0.1;76.5;7;6.2
1.4;0.4;10;0.1;72.8;13.5;10.5
1.2;0.4;5.7;0.1;75.2;7.2;6
0.8;0.4;4.3;0.1;77.5;8.5;4.8
0.6;0.7;4.5;0.1;76.2;10.8;5.8
0.6;0.7;5.3;0.1;71;11;6.2
0.6;0.6;5.3;0.1;71.8;11;6.2
1.4;0.6;13.4;0.1;60.5;13.5;14.2
0.7;0.7;5;0.1;71;4.8;6.2
0.7;0.8;4.7;0.1;71.8;5.8;6
0.6;0.8;4.5;0.1;68;8.8;5.8
0.6;1;4.6;0.1;71.5;7.5;6.2
0.6;1.4;4.6;0.1;69;8.8;6.8
0.6;1;4.8;0.1;68.2;9.8;6.2
0.6;1.1;4.4;0.1;69.2;7.5;6
0.6;0.8;5;0.1;69.8;7.8;6.2
0.6;0.9;5.5;0.1;69.5;6.2;7
0.6;1;4.8;0.1;72.2;6;6.5
0.6;0.4;4.6;0.1;73.2;11;5.5
0.6;0.5;4.2;0.1;75.5;8.8;5.2
0.6;0.3;4.3;0.1;75;7.8;4.8
0.8;0.5;5.3;0.1;76.8;6.2;6.2
0.7;0.5;4.8;0.2;79.5;12.8;5.5
0.8;0.7;5.6;0.2;79.2;9.8;6.8
0.7;0.8;4.9;0.2;76.5;8.2;6
0.8;0.7;4.4;0.2;70.2;26.8;5.8
0.8;0.8;6;0.1;66.2;25.8;7.2
2.5;1.2;24.1;0.1;43.5;22.5;25.8
1.2;0.4;12.5;0.2;56.5;10.8;13
1.4;0.3;8.4;0.1;56.5;8.2;8.8
0.7;0.2;10.4;0.1;53;9;11
0.7;0.4;10.6;0.1;52;11.5;11.2
0.6;0.4;9.8;0.1;49.2;8.5;10.2
0.6;0.5;10.6;0.1;42.8;3.8;11.2
0.6;1;11.6;0.1;40.8;4;13.2
0.6;0.6;11.2;0.1;39.8;8.2;12
0.6;1;8.2;0.1;43.5;9;9.8
0.6;1.2;10.7;0.1;36.5;8.2;12.5
0.7;1.7;16;0.1;27.2;6.5;18.5
0.8;2.6;19.2;0.1;21.8;7;23.2
0.9;3.2;12.1;0.1;29.2;7;17
1;4.8;13.5;0.1;32;7.8;20.8
1.5;5.6;14;0.2;34.8;9.5;22.5
2.4;6.8;16.3;0.2;36;18.8;26.5
2.6;6.8;16.8;0.2;41;20.2;26.8
2.1;3.2;10.4;0.2;59.8;14.8;15
1.8;2.3;8.2;0.2;67.8;12.2;11.8
2.4;4.1;8.9;0.3;76;13.8;17.5
2.1;5.3;15;0.3;70.2;18.5;23.2
1.7;5.8;21.3;0.3;64;13;30.5
1.7;4.1;19.1;0.2;64.5;24;25
1.9;4;25.8;0.2;57.2;21.8;32
1.1;3.8;45.4;0.3;40.5;29.5;51
1.1;2;19.3;0.3;60.5;32.8;22.2
1;2.3;31.4;0.3;49.2;27.8;35
1;1.8;18.6;0.2;56.8;18.5;21.5
1.2;1.8;16.8;0.2;53;13.5;19.5
1.6;1.6;28.7;0.2;44.2;21.5;31
1.2;1.6;18.2;0.2;50.8;21.8;20.5
1.2;1.8;17.7;0.2;35.5;11.5;20.2
1.1;1.3;17;0.2;33;9;19
1;1.3;16.3;0.2;30;7.8;18.5
1;2;20.8;0.2;24.2;9.8;24
1;1.7;20.4;0.2;22.8;13.5;23
1.1;5.6;22.6;0.2;21.5;15.8;31.2
1.2;6.6;19.3;0.2;29.2;17;29.5
1.8;5.8;16.6;0.3;39.2;40.8;25.5
1.3;5.5;16.8;0.2;50.2;28.8;25
1;5.1;17;0.3;66.2;27.5;25
0.8;3.6;10.9;0.2;81;33;16.2
1;4.1;8.8;0.2;84.5;24.8;15
1.1;4.5;8.6;0.2;86.5;28.2;15.5
1;5;8;0.3;91.5;18.8;15.5
1;3.4;9.4;0.3;85.8;17;14.5
0.9;3.2;10.6;0.3;64.8;18;15.5
1.6;2.6;22.3;0.2;39.8;28.2;26.2
2.1;2.4;19.1;0.2;43.2;28.2;22.8
1;2.3;25.6;0.2;42.2;19.5;29.2
1.3;1.7;16.6;0.2;48.5;22;19
1.3;1.6;8.5;0.2;57.5;13.5;11
1;1.4;12.3;0.2;53.8;9.8;14.5
1.4;1.7;18;0.2;41.8;9.8;20.5
1;1.4;15.1;0.2;44.2;14.2;17.2
1;1.4;16.6;0.2;43.5;13.2;18.8
0.9;1.1;15.6;0.2;43;13.2;17.2
1.1;1.2;15;0.2;41;12.2;16.8
1.1;1;22;0.2;35.5;11.2;23.8
1.1;1;11.6;0.2;39.2;10.2;13.5
1.1;1.5;11.3;0.2;41.2;15;13.5
1.2;11.5;22.4;0.2;30.5;14.2;40
1.3;2.4;9.6;0.2;52.8;38;13.2
0.9;2.8;9.2;0.2;59.2;28.8;13.8
1.2;3.7;10.9;0.2;65.8;19.2;16.5
2.2;4.5;13.8;0.3;73.2;20.5;20.5
2.7;5.1;15.4;0.3;78.5;16.8;23.2
2.1;5;11.6;0.2;84.8;16;19.5
2.7;6.3;15.1;0.3;81.2;21.2;25
1;3.6;7.4;0.2;88.8;18;12.8
0.9;3.5;16.8;0.2;73.2;18.8;22
4.2;4.3;32.1;0.2;39.2;28;38.8
1.3;2.7;13.5;0.2;54.2;28.2;17.5
1;1.9;12.2;0.2;51.5;19.5;15
0.8;1.4;9.8;0.2;50;14.5;12.2
0.8;1.5;12;0.2;42.8;18.2;14.2
0.7;1.6;10.2;0.2;43;15.8;12.2
0.8;1.4;12.4;0.2;37.8;14.2;14.5
0.7;1.3;10;0.2;39.2;14.8;12.2
0.7;1.4;9;0.2;37;19.2;11
0.6;1.1;10;0.2;33;21;11.8
0.6;1.3;15.7;0.2;29;13.2;17.8
0.5;1.9;16.1;0.2;26.5;20.2;19
0.6;2.6;18.5;0.2;25.2;11.8;22.2
0.7;3.8;15.7;0.2;30.2;14.2;21.5
0.7;4.4;14.4;0.2;37.8;17.5;21.2
0.7;3.7;11.2;0.2;50.5;21.5;17
0.9;2.2;9.8;0.2;64.2;19.5;13.2
0.9;2.2;8.6;0.2;74.5;20;12.2
0.8;2.6;8;0.2;79.8;21.8;12.2
0.9;2.6;9.9;0.3;90.2;25.5;13.5
0.7;2.6;10.1;0.3;96;20;14
0.8;3.1;9.3;0.3;99.5;23.2;13.8
0.7;2.7;9.2;0.3;83;27.2;13.2
0.8;2.2;8.8;0.2;67.8;34;12.5
0.8;1.8;8.5;0.2;62.2;41;11.2
0.8;1.2;13.6;0.2;51.8;24;15.5
0.6;1.2;13.6;0.2;47.5;14.2;15.2
0.8;1;12.4;0.2;49.5;20;13.8
0.8;1.1;11.3;0.2;53;17.5;13
0.9;1.2;10.1;0.2;52.8;23;12
0.9;1.1;11.8;0.2;49.2;13.5;13.5
0.6;1.6;9.9;0.2;49;16.8;12.2
0.6;1.6;15.4;0.2;39.2;13.8;17.8
0.6;1.5;15.6;0.2;37.8;21.5;17.5
0.6;1.5;18.2;0.2;35;13.8;20.5
0.6;1.8;18;0.2;35.2;10.2;20.5
0.7;2.9;22.6;0.2;29.8;17.5;27
1.1;5.5;22;0.2;29.8;12.2;30.5
1.6;5.5;17.2;0.2;39;14.2;25.5
1.3;5.6;17.5;0.2;49.2;18.8;26
1.2;3.4;12.3;0.2;65;21.5;17.8
2.5;4.7;16.1;0.3;68.8;23.8;23
1.6;3.2;10.7;0.3;89.2;21.5;15.8
1.9;3.9;14.2;0.3;89.2;22.8;20
3;4.8;18.3;0.3;87.5;19.5;25.8
2.4;4.1;14.8;0.3;96.8;18.8;21
1.3;3.3;7.2;0.3;107.8;19;12
1.4;3.2;16;0.2;98.5;30;21
1.3;2.7;15.1;0.3;96.2;28.5;19.2
1;2.1;17.4;0.3;82.2;28;20.5
0.9;1.7;26.1;0.3;85;24.2;28.5
0.9;2;23.8;0.2;68;28.2;26.8
1;2.1;34.3;0.3;61.5;32.2;37.2
1.2;2.4;42.4;0.3;46;22.8;46
0.9;1.7;13.6;0.2;55.2;22.2;16.2
0.7;1.4;12.8;0.2;56.2;22;14.8
0.8;1.4;13;0.2;55.2;18.8;15.2
0.8;1.4;17.2;0.2;49;29;19.2
0.7;1.5;13.2;0.2;55;32;15.5
0.6;1.3;14;0.2;57.2;27;16
0.7;1.6;17.1;0.2;46;18.5;19.5
0.6;1.8;17.2;0.2;45;27.2;20.2
0.6;2;18.2;0.2;46.2;30.8;21.5
0.6;2.7;18.6;0.2;47.2;32.8;22.8
0.7;2.5;12.8;0.3;65;36.5;16.5
0.6;2.4;8.8;0.3;79.5;23.8;12.5
0.6;2.7;7.7;0.3;89.5;24.5;11.8
0.9;2.7;7.6;0.3;103.8;24.2;11.8
1.1;3.3;6.5;0.3;105;29;11.5
0.9;3.9;6;0.3;104.8;29;12
0.8;4.1;8.4;0.2;104.5;23.8;14.5
0.9;3.6;16;0.3;96.8;19.5;21.2
1.2;2.8;16.8;0.3;92.8;33.2;21
1;2.2;16.8;0.3;84.2;25.8;20.2
0.8;1.8;9.9;0.3;86.5;36.8;12.8
0.8;1.7;11.9;0.2;76.2;28;14.5
0.8;2;15.9;0.3;65;26.8;18.2
1;1.7;14;0.3;58.8;32.2;16.5
1;1.5;15.7;0.3;53.8;28;18.2
0.8;1.6;13;0.3;53.2;29.5;15.5
0.7;1.6;11.2;0.3;55.2;25.8;13.8
0.7;1.5;11.4;0.3;53.2;28.5;13.5
0.7;1.8;9;0.2;58.8;25.8;11.8
0.6;1.2;7.6;0.2;57.8;18.2;9.2
0.6;1.4;9.2;0.2;54.5;16;11.2
0.6;1.7;14.9;0.2;33.2;19.2;17.8
0.7;5.1;22;0.3;21.8;29.2;29.8
0.8;4.2;16.9;0.3;35.8;26;23.5
0.6;1.7;7;0.3;73;21.8;9.5
0.6;1.8;5.7;0.3;86.8;24.5;8.2
0.6;2.2;5.7;0.3;90;19.8;9
0.6;2.3;6.5;0.3;94.8;14;10
1;3.3;13.6;0.3;91.5;19.8;18.5
1.5;2.9;11;0.3;97;22;15.5
1.2;2.5;9.8;0.3;97.5;32.2;13.5
1.1;2.2;9.8;0.2;96;51.8;13
1;3.4;43.5;0.3;56.5;22.8;48.8
0.7;2.2;17.3;0.3;77.5;29;20.8
0.8;1.8;7.9;0.2;91.5;18.2;10.8
0.7;1.6;21.9;0.2;61.8;21;24
0.6;1.6;16.6;0.2;61.2;28;19
1;1.5;10.3;0.2;68;25.5;12.8
1.1;1.4;8.4;0.3;69.5;21.8;10.5
1;1.4;9.8;0.3;63.2;20.2;12
0.7;1.2;14.4;0.2;51;16.8;16.2
0.8;1.1;22.6;0.2;42.8;19.5;24.2
1.1;1.2;8;0.2;58.2;19.8;9.8
0.8;1.7;10.7;0.2;54;14;13.8
0.9;3.1;18.1;0.2;45.5;13;22.8
1.3;3.8;22.6;0.2;33.5;11.2;29
2.1;5.9;19.9;0.2;37.8;19.5;28.8
2.2;5.8;19.7;0.3;43;20.2;28.8
3;9.6;25.2;0.3;41;19;40.2
2.8;5.6;15.3;0.3;67.8;29.2;23.8
1.2;2.4;6.6;0.2;92.8;23.5;10
1.1;2.3;6;0.3;97.8;27;9.2
1;2.7;6.9;0.3;102;22.5;11
1.2;3.1;10.2;0.3;103.5;20.2;15
0.9;2.7;10.4;0.3;98.2;25.2;14.5
0.9;2.6;19.9;0.3;89.5;22.2;24
1;2.5;28.6;0.3;79;30.5;32.2
1.2;1.9;29.9;0.3;54.5;32;32.7
1.1;2.1;17.5;0.2;73.8;41.2;20
1;1.6;9.2;0.2;84.8;40;11.8
0.7;1.6;17.4;0.2;59.5;26.2;19.8
0.6;1.4;12.2;0.2;71.2;23.2;14
0.8;1.6;37.9;0.3;50.5;21.5;40.2
0.8;1.5;15.3;0.3;50;25.5;17.8
0.7;1.2;10.2;0.2;58.5;27;11.8
0.6;1.2;16;0.2;62.2;24.5;17.8
2.2;1.5;24.2;0.2;33.8;18;26.5
1.6;6.5;38.7;0.3;17;27.2;48.5
1.5;2.3;30.4;0.2;31.2;30;34
1.8;9.3;40;0.2;21;25.8;54.5
3;13.9;35;0.2;26.5;24.5;56.2
4.1;18.8;33.4;0.3;28.2;35;62.2
2.2;8;23.1;0.3;50.5;36.5;35.2
1.5;3;11.2;0.3;80.8;33.5;16
1.4;3;11.6;0.3;93.5;23;16.2
1.3;2.7;11.4;0.3;100.2;27;15.5
1;4.4;12.8;0.3;101.5;27.2;19.8
0.6;3.3;9.4;0.3;103.5;29.5;14.5
0.7;3.4;12.4;0.3;95.8;28.2;17.8
1.4;3.4;42;0.3;58.8;23.8;47
1.7;2.4;34.6;0.3;66;37.2;38.5
1.6;2.8;36.8;0.3;54.8;44.2;41
1.1;2;29;0.3;59.5;43.5;32
1.8;3.3;28.1;0.3;43.2;32;33
1;1.6;20.4;0.2;52.5;26.2;23
1.3;1.6;15;0.3;65;28.2;17.2
1;3.5;21.4;0.2;51;29.8;27
0.9;1.4;26.2;0.3;54.8;28.2;28.2
1.2;1.3;16.4;0.3;56.2;34.5;18.2
1.3;1.4;21.5;0.3;42.2;33.5;23.5
0.9;1.1;18.2;0.3;47;32.2;20
0.9;1.7;20.6;0.3;47.5;30.8;23.2
1.2;5;41.8;0.3;17.5;31;49.3
1.2;6.8;40.7;0.3;17.5;32.5;51
1.4;3.8;25.8;0.3;46.8;40.5;31.8
1.6;4.4;24.5;0.4;52.2;42;31.5
1.5;3.1;16.9;0.4;72.2;43.8;21.8
1.4;2.6;11.9;0.3;91.5;44;16
1.2;1.9;10.3;0.3;101.8;38.2;13.2
1.1;2.7;11.3;0.3;91.8;35.2;15.5
1.1;2;9.4;0.3;87.2;27.5;12.8
0.8;1.8;10.8;0.2;76.8;32;13.5
0.8;1.2;11;0.2;64.8;16;13.2
0.7;1.2;8.1;0.2;74.2;12;10
1.3;1.4;25.7;0.2;46.5;9.5;28
1.2;1.3;14.2;0.2;57.8;8;16.2
1;1.1;8.2;0.2;66.2;8.8;10
1.7;1.3;22;0.2;52.2;8;25
1.6;2;11.8;0.2;65;7;15
0.8;2;10.9;0.2;68.5;4.5;13.8
0.8;2;7.1;0.2;71.5;3;10.2
0.7;2.9;8.6;0.2;65.8;6.8;13
0.8;2.1;11.1;0.2;65;5.5;14.2
1;2.8;12.6;0.2;64.5;4.8;17
0.6;2.8;11.3;0.2;63;3.5;15.5
0.4;2.5;14.8;0.2;58.5;4;18.5
0.5;2.2;12.8;0.2;58.5;4.8;16.2
0.7;2.8;14.5;0.2;55.2;5.8;18.8
0.8;3.2;13.4;0.2;61.2;8.5;18.2
0.6;2.9;10.1;0.2;73.5;11.5;14.5
0.5;2.3;9;0.2;78;12.8;12.5
1;2;7.4;0.2;84.8;14;10.2
1.2;1.4;6.6;0.3;88;12.2;8.8
1;1.2;6.9;0.3;86;23;8.5
0.8;1.4;6.5;0.3;84;34.2;8.5
0.7;1;6.6;0.3;81.2;21;8.2
0.6;1.1;8.1;0.2;77.5;14.8;9.5
0.6;1.1;12.8;0.3;66.8;13.2;14.2
0.7;1.3;15.3;0.3;62.2;25.8;17.2
0.8;2;22.3;0.3;53;18.8;25.2
1;2.6;12.2;0.3;63;17;16
1.2;2.4;12.5;0.3;64;7;16.2
1;2.4;8.8;0.3;66.2;7.2;12.5
0.9;2;14;0.3;65.8;10.5;17.2
0.8;2.1;19.9;0.3;62.2;11.8;23
0.8;2;32;0.4;56.8;11.5;35
0.7;2.6;44.7;0.4;47.2;10.2;48.5
0.8;2.6;19.1;0.4;51.8;9.2;23
0.8;2.9;19.6;0.4;50.8;8.2;24
0.6;3;13.3;0.3;54;9.8;18
0.8;3.8;15.4;0.3;45.2;8.2;21
1.5;20;38.1;0.4;16;8.8;67.8
2.3;9.4;20.6;0.4;33.5;12.5;35
2.7;8.3;19.2;0.3;46.5;14;31.8
3;7.4;18.2;0.4;47.8;20;29.5
2;3.9;12.4;0.3;63.2;20.2;18.2
1.6;2.3;7.9;0.4;80.5;14.2;11.5
1.6;2.5;9.9;0.4;82.8;14.8;13.8
1.1;2.4;8.5;0.3;86.2;19.2;12.2
1.1;2.8;13.2;0.4;81;18.8;17.2
1.4;2.6;18.1;0.4;78.5;16.5;22
2.6;2.8;39.7;0.4;53.5;28.8;44
3.7;1.5;27;0.4;62.5;27.5;29.2
1.6;1.4;18.2;0.4;63;40.5;20.5
3.4;2;37.5;0.5;38.5;34.5;40.5
3.6;1.8;37.5;0.4;28.5;47;40.2
1.9;1.4;22;0.4;42.5;45.8;24.5
1.7;1.6;24.6;0.4;37.5;37.5;27
1.5;2;23.5;0.4;35.8;44.5;26.8
1.5;2.9;19.6;0.4;41.8;33.5;24
1.6;3;16.8;0.4;42.5;32;21.5
1.5;3.2;15;0.3;39.8;25.2;19.8
1.7;3.5;23.1;0.3;28.8;22.2;28.5
1.4;2.7;20.1;0.3;33.5;13.5;24
1.3;3.8;28.4;0.3;17.2;30.8;34
1.2;4;22.2;0.4;28.2;24.8;28.2
1.5;5;24;0.4;31.2;30.5;31
2.3;5;18.5;0.4;44.2;32;26.2
1.8;3.6;13.2;0.4;55.8;36.2;18.8
1.7;3.2;12.2;0.4;64.2;30.2;17
1.7;2.7;11.4;0.4;74.2;28.2;15.8
1.7;2.6;12.1;0.4;83;32.2;15.8
1.6;2.7;9.9;0.4;90.8;28;14
1.5;2.4;9;0.4;97.5;28;12.8
1.3;2.6;12.2;0.4;91.2;28.8;16.2
1.6;2.2;21.2;0.4;76;30;24.8
1.4;1.7;19.8;0.4;71.5;32.5;22.5
1.5;1.5;14.2;0.4;70.8;33;16.5
1.6;1.7;21.4;0.4;58.5;34.5;24
1.6;1.3;15.8;0.4;61;32.2;17.8
1.8;1.3;19.4;0.4;54.5;33.5;21.2
1.2;1.6;14.4;0.4;51.8;35.8;16.8
1.2;1.2;13.5;0.4;50.2;32;15.2
1.1;1.2;11.8;0.3;60.2;33.5;13.8
1.2;1;12.2;0.3;55.8;24;13.8
1;1.4;11.1;0.3;53.5;22;13.2
1;1.2;11.4;0.3;49.2;17.8;13.2
0.9;1;11.9;0.3;48.5;18.8;13.8
0.9;1.3;9.8;0.3;48.2;19;11.8
0.9;1.4;11.2;0.3;49.5;16;13.5
1.1;1.7;10.4;0.3;53.2;19.2;13
1.4;1.9;9.4;0.3;61.2;16.8;12.2
1.4;2.2;8.5;0.3;71;15.2;11.8
1.8;2.1;8.4;0.4;79.5;16.8;11.5
1.7;2.4;7.3;0.4;89.2;23.8;10.8
1.5;2.6;6.2;0.4;97.5;29.5;10
1.6;2.5;7.5;0.4;96.8;30;11.2
1.5;2.6;7.9;0.4;93.2;26.5;12.2
1.9;2.6;9.1;0.4;90.5;21;13
3.3;2;14.6;0.3;83.8;13.8;17.8
2.4;1.8;15.1;0.3;78.8;21.2;17.8
1.6;1.8;11.4;0.4;80.2;22.2;14.2
1.5;1.8;9.8;0.3;77.5;17.8;12.2
1.3;1.8;9.6;0.3;72.5;22.2;12
1.5;1.7;9.2;0.3;66;26.5;11.8
1.6;1.5;10.5;0.3;60.5;15.2;13
1.5;1.8;8.6;0.3;60.2;13;11
1.6;1.4;8.9;0.3;61.8;14.8;11.2
1.6;1.4;7.4;0.3;66.2;10;9.5
1.4;1.2;6.9;0.3;67.2;7.2;8.8
1.4;1.3;8;0.3;68;7;10
1.2;1.2;7.3;0.3;70.5;13;9.2
1.4;1.8;18.2;0.3;60;19;21
1.4;3.6;25.8;0.4;36.2;16.8;31.2
1.6;5.1;32;0.4;31.8;12.8;39.8
1.4;4.2;24.9;0.4;39;17.8;30.5
1.5;3.8;19;0.4;48.2;19;25
1.7;2.3;16.7;0.4;48.2;21.5;20.2
1.6;2.7;21.7;0.4;41.2;13.8;25.8
1.8;5.1;30.8;0.5;31.8;14.8;38.8
2;6.2;32;0.5;27.8;20.2;41.2
2;5.5;25;0.4;34;20;33.5
1.9;5.2;27.5;0.4;27.5;15.8;35.5
1.9;4.6;37.6;0.4;14.8;18.5;44.5
2;4.4;32.8;0.4;18;22.5;39.5
2;1.9;27.3;0.4;37.8;20.2;30.2
1.8;1.6;13.9;0.4;58.5;14;16.5
1.6;1.4;9.6;0.3;64.2;11.5;11.8
1.5;1.3;9.8;0.3;64.8;8.5;12
1.4;1.1;8.2;0.3;70;3.8;10
1.2;1.2;6.4;0.3;69.8;5.5;8.2
1.2;1.4;7.6;0.3;74;8.2;9.5
1.1;1.7;8.7;0.3;73.2;8;11.2
1;2.4;8.8;0.3;66.2;9;12.8
1;3.2;10.5;0.4;61.8;14.8;15.2
1.1;3.2;12.2;0.3;60.8;10;17
1.2;4;13.1;0.3;63;9;19.5
1;5.2;12.8;0.4;69.5;9;20.8
1.1;5.9;13;0.4;69;9;22
1;4.7;9.2;0.3;78.2;8.2;16.2
1.1;3.3;9.2;0.3;76.8;8;14
1.1;2.4;8.3;0.3;80.8;9.8;12
1;2.1;7.5;0.3;82.2;7.5;10.8
1;2.6;7.8;0.4;82.2;7;12
1;3.2;8.7;0.4;81.5;5.5;13.8
1;3.9;11;0.4;78.8;1.8;17
1;3.5;14.7;0.3;71.5;2.8;20.2
