SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
2.4;4.6;22.1;0.2;12.5;9;29.2
2.2;5.4;18;0.2;19.2;10;26
1.6;6.4;16;0.2;25.8;10;26
1.8;6.1;15.3;0.2;30.5;11;24.8
2.9;4.9;12.3;0.2;39.8;17.8;20
1.4;4.1;11.4;0.2;48;22;17.8
2;4.6;13.9;0.2;47.2;12;20.8
4.5;11.3;25.9;0.3;36;16;34
3;4.7;20.5;0.2;31.7;22;26.8
2.9;2;16.1;0.2;37.2;25;19.2
3.8;1.8;12;0.2;24;21;14.5
3.7;4.7;39.1;0.2;4;34;46.3
3.3;9;43.5;0.2;2;23.5;57.5
2;0.8;22.6;0.2;17.8;22;24
2.6;1.2;19.6;0.2;17.2;27;21.5
2.8;1.3;25.6;0.2;11;29;27.8
2;3.2;29.8;0.2;7.2;22;34.8
1.6;2.1;28;0.2;5.5;22;31.2
2.4;1.6;24.2;0.2;9;22;27
3;1.9;22.5;0.2;7.8;22;25.5
2.5;2.6;28.2;0.2;4.3;23.5;32
2.6;0.8;16.9;0.2;9.8;24;18.2
2.4;1.4;17.6;0.2;11;18;19.8
2.6;3.2;16.2;0.2;11;12;21
2.4;2.7;18.8;0.2;6.8;19;22.8
2.9;4;13.1;0.2;9;22;19
4.1;;;0.2;2.5;19;
4.8;;;0.2;9.8;24.2;
3.6;5.2;8.2;0.2;23;22;16
3.3;7.9;7.8;0.2;26.2;26;19.8
4;13.8;15.9;0.2;22.8;26;37.2
4.3;8.5;15.5;0.2;34;26.2;28.5
2;5.4;15.1;0.2;36.2;23.5;23.5
1.6;3.5;19.6;0.2;30;25;25
1.4;4.1;33.5;0.2;15.8;30;39.8
1.7;1.1;24.6;0.2;25.2;32;26.5
2.5;2.2;29.5;0.2;20;33;32.8
3;1.2;20.8;0.2;20.5;29;23
3.4;2;22.7;0.3;22.5;27.2;25.8
3.7;0.8;11.2;0.2;32;25;12.5
3.2;1.6;11;0.2;29.2;14;13.2
2.1;1.4;5.4;0.2;31.5;13.2;7.5
1.8;1.4;5.8;0.2;28;12.2;8
2.5;1.2;14.1;0.2;21;13;15.8
2.6;1;5.2;0.2;34.2;17;6.5
2;1.4;7.4;0.2;24;10.2;9.8
2.9;1.1;8.3;0.2;23.5;15;10
1.8;1.2;5.6;0.2;26.5;21;7.8
1.7;1.1;3.6;0.2;27.5;18;5.2
2.6;1.9;4.2;0.2;25.2;21;7.2
2.8;3.3;5.3;0.3;12;9;10
2.3;5;6.8;0.2;26.2;36.8;14.5
2.2;4.1;3.9;0.2;34.5;33.8;10
1.8;5.8;6.8;0.2;34.5;19.2;16
1.2;6.4;8;0.2;34.8;20;17.5
1.6;4.2;8.4;0.2;39.8;25.8;14.8
2.4;3.6;9;0.2;36.2;28;14.5
2.2;2.8;17;0.2;27.8;30;21.2
1.4;1.7;19.6;0.3;26;27.2;22.2
2.3;3.7;30.9;0.3;11.2;33.2;36.5
2.6;2.7;28;0.3;11.2;52;32.5
2.1;6.1;31.1;0.3;2;35;40.5
2.7;4.6;24.9;0.3;;45.8;31.8
3.1;9;19.4;0.3;;30.5;33.2
1.8;6.7;19.3;0.3;;20.2;29.5
2.9;7.2;19.5;0.2;;18;30.5
2.3;4.6;19.4;0.3;;14;26.5
1.3;2.3;20.8;0.3;;12;24.5
1;2.2;19.3;0.3;;12;22.8
1.2;2.2;17.9;0.3;;10;21.8
2.8;1.8;15.7;0.3;;8.8;18.8
2.2;1.8;13.1;0.3;;12;16
1.4;1.8;12.4;0.3;;13;15.5
1.5;5.2;11.1;0.3;3.5;17;19
1.1;2.7;8;0.3;8.5;14;12
2.3;5.1;8.4;0.3;13.2;13;16.2
3.4;6.4;9.7;0.3;13.5;15.2;19.5
2.8;6.3;9.1;0.3;14.5;12;18.8
2.3;4.8;10.2;0.3;15.2;16;17.2
2.8;5.8;13;0.3;13.2;20;21.8
2.2;3.8;14.8;0.3;14.5;20;20.5
1.5;2.9;14.7;0.3;12.5;28.8;19.2
1.7;2.2;14.8;0.3;16.5;26;18.5
1.8;1.3;12.5;0.3;21.2;24;14.5
2.2;1.2;12.4;0.3;22.5;31;14.2
2.5;1;13.8;0.3;22;36;15.2
2.6;1.6;20.7;0.2;11;31;23.2
1.6;1.4;19;0.3;11.2;43.8;21.2
2.6;2.2;21.6;0.3;9.8;40;24.8
2.2;1.6;21;0.3;10.8;34.5;23.5
1;1.8;18.2;0.3;9.5;34;21
1.2;1.1;11.9;0.3;15.8;28;13.5
1.4;1.2;8.3;0.3;19.2;21;10.2
2.3;3;17.2;0.3;7.5;18;21.8
2.8;2.1;11.2;0.2;8.8;22;14.2
2.9;6.8;15.8;0.2;4.8;22;26.5
1.4;4.7;17.2;0.2;5.5;15;24.5
1.4;6.1;14.6;0.2;8.8;16;23.8
3;6.3;14.4;0.2;12;16;24.2
2.8;10.3;18;0.3;11.5;24.8;34
2.7;12.8;20.1;0.2;10.2;30;39.8
3.4;6.7;12.7;0.3;19.8;33;23
3.3;10.2;12.3;0.2;24;32;27.8
2.6;19.3;21;0.2;18.2;32;50.5
2.3;10.3;24.6;0.2;22;31;40.2
3.1;4.3;26.2;0.2;18;24;33
3;25.8;47.5;0.3;;25;87
2.6;42.2;49.7;0.4;;43;114.5
3.4;18.4;45;0.3;;65;73.2
3.5;22.4;32.1;0.2;6.3;41.2;66.5
3.5;41.4;40.2;0.3;5;29.2;103.8
2.6;9.4;31.3;0.3;1;48.5;45.8
2.3;3.4;20;0.2;6.3;44.2;25
1.8;14.6;19.2;0.2;;26.2;41.5
1.6;8.3;16.7;0.2;;14.2;29.5
2.2;9.4;15.6;0.3;;15;30.2
2.7;20.5;18.4;0.3;;7.2;49.8
1.9;25.9;22.6;0.4;;22;62
2.8;31;23.4;0.4;;11.2;70.8
2.6;30.2;22.6;0.4;;15;69
4.2;31.6;25.3;0.4;;23;73.8
3.7;42.6;22;0.4;;12.2;87.5
2;36.6;20.6;0.4;1;15;76.8
2;39.4;22;0.3;1.7;21;82.2
4.4;42.8;22.6;0.3;1.2;14;88.2
3.8;23.8;19.8;0.3;3.5;16;56.2
3.1;19.8;18.2;0.4;5.5;28.8;48.8
3.8;14.9;18;0.3;5.2;19.2;40.8
3.8;25.2;24.8;0.3;2.2;29.2;63.2
3.9;30.4;30.7;0.3;2.5;44.8;77.3
2.8;;;0.2;2.7;46;
2.8;;;0.2;2;22.2;
2.3;33.4;22.7;0.3;;27;73.8
3.2;18.7;22.9;0.2;;29;51.5
3.2;12.4;20.6;0.3;;33;39.5
2.8;6.2;20.2;0.2;;26;29.8
3.6;6.8;20.6;0.2;;24;31.2
2;13.8;21.2;0.2;;21;42.5
1.9;9;20.9;0.2;;24;34.8
2.7;14.3;19.5;0.2;;24;41.2
3.7;26.1;18.8;0.2;;15;58.5
3.2;21.7;18;0.2;;17;51.2
3.2;15;17;0.2;;12.2;40
2.5;5.7;13.1;0.2;;16;22
1.3;7.3;11.8;0.2;;21.8;23.2
3.2;27.7;13.7;0.2;;21;56
2.3;26.2;13.9;0.2;1;19.8;54.2
2.3;3.8;7.1;0.2;2.8;26;13
2.6;8.3;7.6;0.2;3;17.2;20.2
2;13.1;11;0.2;2.8;26;31.2
1.7;4.4;6.2;0.2;5;28.2;13
2;37.8;19.2;0.3;;15.2;53.5
3.1;30.9;20.7;0.3;2.5;23.8;67.8
1.9;38.3;24;0.3;2.2;28;82.8
1.9;26;26.9;0.2;1.2;31;66.8
2.1;20;25.7;0.2;1.8;24.2;56.5
2.1;25.1;30.2;0.3;1.5;27;68.8
1.7;10.8;29.9;0.3;2;25.2;46.5
2.8;8.8;30.6;0.3;2.8;25;44.5
2.3;7.2;29.6;0.3;2.2;32.8;40.8
1.6;10.2;29.5;0.3;2.5;15.2;45
2.2;7.6;27.8;0.3;10;23;39.5
2.1;1;16.3;0.2;28;29.8;17.8
2;1.5;5.1;0.3;42.5;19.2;7.5
2.2;1.4;11.9;0.3;29.8;13;14
2.3;1.2;6.8;0.3;36.2;18;8.8
2.6;1.1;4.6;0.3;37;16;6.5
2.6;5.2;17.6;0.3;19.8;14;25.8
2.6;8;29.4;0.3;13.8;19;41.8
1.9;4.1;16;0.3;30.8;11;22.2
2.5;7.1;15.8;0.3;38.5;23.5;26.8
3;8.5;15.2;0.3;46.2;12.2;28.2
2.2;3.2;6.6;0.3;62.8;15;11.5
1.3;3.2;5.5;0.3;68.8;13;10.2
2.2;2.3;2.4;0.2;81.5;18.8;5.8
3.4;2.1;2.1;0.2;85.5;15;5.2
3;2;1.4;0.3;85.8;11.2;4.5
3.4;1.8;4.1;0.3;79.5;12;7
2.4;1.8;14;0.3;64;11;16.5
2.3;1.2;11;0.3;64.5;8;12.8
2.2;1.7;8.7;0.2;66.5;14.8;11.2
3.9;2.4;16.9;0.2;55.8;9.5;20.5
3.5;1.5;10.3;0.1;61.2;9;12.2
3;1.2;9.4;0.2;57.5;10;11.2
2.5;1.1;6.4;0.2;60;12;8
3.2;1.3;11;0.2;55.5;9.2;13
4;3.2;23.9;0.1;39.8;8;28.8
5.4;3.9;30.7;0.2;29.5;11;36.5
4.5;1.9;8.1;0.2;48;17;11
2.6;1;0.5;0.1;68.5;19;2.2
1.6;1.7;7.1;0.1;61.2;10;10
1.8;1;3.7;0.1;67.8;11.5;5.2
2.6;1.4;5;0.1;64.5;17.8;7.2
2.6;2.5;8.6;0.1;61.8;13.2;12.2
2.5;3.6;7.6;0.1;69.5;12.5;13.2
2.8;3;2.5;0.1;81.8;15.8;7
2.8;3.3;5.2;0.1;81.5;10;10.5
2.9;2;1.7;0.1;89;8;5
3.8;2.2;3.2;0.1;89.2;4.5;6.8
